nom;Entreprise;Marche;Reponse;Cours;Total actifs;Autres actifs;Capitaux propres;Effectif ;Resultat net;Actifs fi non courant;CA annuel;Cout endettement financier net;Creances clients cmptes rat;Dettes fi courantes;Dettes fi non courantes;Ecart daquisition;Fournisseurs cmptes rat;Immo corp;Immo incorp;Marge ope;Prod acti ordi;Provision risques charges non courant;Resultat ope;Ratio endet;Rent fi;Stocks trav en cours;Treso
Airbus;AIR;CAC40;1;37.85;0.194101300476068;0.226103048799086;-0.280089278831135;0.0282748062231573;1.12661764891997;0.211001122394331;0.284940154836729;-23.2001072648889;0.225862856386072;2.25206587263619;1.7103194102159;-0.0829492687651971;0.21262193582432;0.194925283421491;0.32343609529374;4.17952617810773;0.284940154836729;0.0835296812602946;0.869104004880681;-17.1055934423986;1.98942452260507;0.339487796997898;0.57185058896129
Danone;BN;CAC40;1;13.71;0.112658271988588;0.137409717520464;-0.0251616262679683;-0.018109304105382;-0.245172828958798;0.599509518137452;0.153524851118476;0.11107123703051;-0.0384707127410937;0.475710314014266;-0.114888430404697;0.0257367824994733;0.21770814594679;0.16125905331512;-0.0279106773443374;8.53704813067915;0.153583626696515;0.49367135359322;-0.18050353491399;-0.180472360568674;-0.311928137576064;0.245711775709195;0.513467003519866
Carrefour;CA;CAC40;0;9.035;-0.148799543480876;0.468785349870494;0.0362105764884907;-0.196157253132001;2.05164263996431;0.364159632461979;-0.0564146685729447;0.219579287592354;0.457315152524185;-0.368945612503352;-0.394787482935958;-0.320613477867258;-0.208281363314746;-0.205793726607553;0.378601770155048;13.5031017420082;-0.168399177509446;0.135558609931932;11.0937364609696;0.220122862110487;1.84459525312013;-0.0975876564398588;0.262542939144567
Cap Gemini;CAP;CAC40;1;60.495;0.156913504927781;0.327903173841055;0.174571570347887;0.289855353740492;0.850305159648542;1.03095035115495;0.0898124053574548;0.776448059426783;0.207863986219683;1.08174367537823;-0.163687645503255;0.202434605785358;0.0645983826268684;0.040931095031695;-0.0572990494213849;7.45012842707704;0.204334654408852;0.64162895479645;0.609578499778108;-0.735101255114819;0.650602388452819;0.0458857024330767;0.0151591696840085
Vinci;DG;CAC40;1;25.26;0.0261447805423649;1.54497298789852;0.115655992537509;0.0124357924780473;0.0809275542490739;0.679725781870662;0.0441990829871108;0.142285166582813;-0.0683616644962413;0.232989994137426;-0.121097316669705;0.156561103084001;-0.00433953391323496;-0.0426344354413779;0.00562861630716621;8.61489125141172;0.0238755208630953;0.50963281630175;0.0475773936977245;-0.0699201375677418;-0.0365475384029852;-0.0381565818665712;-0.227664615385971
Essilor Intl;EI;CAC40;1;60.5;0.752070864971954;3.35247063592113;0.624404575531395;0.181112723817317;0.592176221480872;0.371778808772434;0.509971843599382;-4.82385899208861;0.190894636611448;0.457787874814192;2.61389925744278;1.31415506450804;0.191044200093526;0.241015025277962;1.53084777581822;16.702235348471;0.509977538432375;0.567282218801817;0.648811695599958;2.56876396228359;-0.0482739915714674;0.398524670338911;0.3983757832976
Bouygues;EN;CAC40;1;12.155;-0.0273844305209491;0.212944004751834;-0.0253400630974581;-0.0247942692733267;-0.20848614752939;-0.307883469846814;-0.00794084753260019;-0.00316551422128744;-0.142050042752125;1.48723712735528;-0.22494165428504;-0.0565625378832421;-0.0461393743326207;-0.00210789444965003;0.705610107534991;0.011425356286569;-0.00936713148435331;0.162904396650008;-0.784311662348385;-0.255710800693411;-0.500697319314944;0.118857653543631;0.18369408887894
Engie;ENGI;CAC40;0;-4.815;-0.0689862166509481;0.207402458936077;-0.180468435560646;0.00388587608215717;-3.4115429407467;0.48097529878714;-0.237335466901557;0.254874090528807;0.0293226278856226;0.222254218812653;-0.217998930602756;-0.190185703876787;0.333836079918307;-0.1584435607448;-0.382234874769755;6.74149211731091;-0.0998625682610896;0.258897786458433;-0.266272279003243;0.0585407143212302;-4.54985278424408;0.30178601136499;-0.178256530865158
Total;FP;CAC40;0;1.39;0.246333618548106;0.748655681611411;0.241797352383643;0.0431226730854291;-0.764132766121398;0.115179796483268;-0.128834247650825;-0.689737323411965;-0.634589321285696;0.250647785635904;0.751139744119128;-0.377729925014456;-0.132257993247735;0.484295828465228;0.149133147172273;0.425074620069431;-0.128834247650825;0.613164057198872;-1.31719184042236;0.352168859052816;-0.904454023268766;-0.387807189202333;0.547463370224179
Valeo;FR;CAC40;1;111.09;0.30537162872686;0.860483802500666;0.625456743415937;0.203292580814118;0.625649106028151;0.360587022747843;0.305564713117686;-0.254654934836803;0.165918976180208;0.649732773946069;-0.236140495111343;0.0202708633177143;0.349220121949996;0.355729151808261;0.628072819657729;5.94430761276822;0.305564713117686;0.211790736417412;0.380804052369827;-1.26600521824533;-0.0170705415698191;0.448676257453988;0.305745200794596
